 Coefficients are from Liebe et al., AGARD CP-May93, Paper 3/1-10
     v0             a1         a2        a3      a4     a5      a6
   50.474238       0.094      9.694    0.890     0     0.240    0.790
   50.987749       0.246      8.694    0.910     0     0.220    0.780
   51.503350       0.608      7.744    0.940     0     0.197    0.774
   52.021410       1.414      6.844    0.970     0     0.166    0.764
   52.542394       3.102      6.004    0.990     0     0.136    0.751
   53.066907       6.410      5.224    1.020     0     0.131    0.714
   53.595749      12.470      4.484    1.050     0     0.230    0.584
   54.130000      22.800      3.814    1.070     0     0.335    0.431
   54.671159      39.180      3.194    1.100     0     0.374    0.305
   55.221367      63.160      2.624    1.130     0     0.258    0.339
   55.783802      95.350      2.119    1.170     0    -0.166    0.705
   56.264775      54.890      0.015    1.730     0     0.390   -0.113
   56.363389     134.400      1.660    1.200     0    -0.297    0.753
   56.968206     176.300      1.260    1.240     0    -0.416    0.742
   57.612484     214.100      0.915    1.280     0    -0.613    0.697
   58.323877     238.600      0.626    1.330     0    -0.205    0.051
   58.446590     145.700      0.084    1.520     0     0.748   -0.146
   59.164207     240.400      0.391    1.390     0    -0.722    0.266
   59.590983     211.200      0.212    1.430     0     0.765   -0.090
   60.306061     212.400      0.212    1.450     0    -0.705    0.081
   60.434776     246.100      0.391    1.360     0     0.697   -0.324
   61.150560     250.400      0.626    1.310     0     0.104   -0.067
   61.800154     229.800      0.915    1.270     0     0.570   -0.761
   62.411215     193.300      1.260    1.230     0     0.360   -0.777
   62.486260     151.700      0.083    1.540     0    -0.498    0.097
   62.997977     150.300      1.665    1.200     0     0.239   -0.768
   63.568518     108.700      2.115    1.170     0     0.108   -0.706
   64.127767      73.350      2.620    1.130     0    -0.311   -0.332
   64.678903      46.350      3.195    1.100     0    -0.421   -0.298
   65.224071      27.480      3.815    1.070     0    -0.375   -0.423
   65.764772      15.300      4.485    1.050     0    -0.267   -0.575
   66.302091       8.009      5.225    1.020     0    -0.168   -0.700
   66.836830       3.946      6.005    0.990     0    -0.169   -0.735
   67.369598       1.832      6.845    0.970     0    -0.200   -0.744
   67.900867       0.801      7.745    0.940     0    -0.228   -0.753 
   68.431005       0.330      8.695    0.920     0    -0.240   -0.760
   68.960311       0.128      9.695    0.900     0    -0.250   -0.765
  118.750343      94.500      0.009    1.630     0    -0.036    0.009
  368.498350       6.790      0.049    1.920     0.6   0        0
  424.763124      63.800      0.044    1.930     0.6   0        0
  487.249370      23.500      0.049    1.920     0.6   0        0
  715.393150       9.960      0.145    1.810     0.6   0        0
  773.839675      67.100      0.130    1.820     0.6   0        0
  834.145330      18.000      0.147    1.810     0.6   0        0
